year,event,category,source
1861,"Transcontinental telegraph completed (October)",Communications,"Wikipedia: First transcontinental telegraph"
1865,"Union Stock Yards open in Chicago (December 25)",Geography,"Wikipedia: Union Stock Yards"
1866,"Western Union controls 90% of US telegraph traffic",Communications,"EH.net: History of the US Telegraph Industry"
1868,"Rockefeller secures 71% rebate from Lake Shore Railroad",Energy,"PBS American Experience; Wikipedia: South Improvement Company"
1872,"Montgomery Ward founds first general-merchandise mail-order catalog",Commerce,"Atlas Obscura; WTTW Chicago"
1878,"Swift designs practical refrigerated rail car (with engineer Andrew Chase)",Geography,"Wikipedia: Swift Refrigerator Line"
1882,"Standard Oil refines ~90% of US oil",Energy,"PBS American Experience"
1883,"Day of Two Noons: railroads adopt 5 standard time zones (November 18)",Time,"Wikipedia: History of time in the United States"
1893,"Sears, Roebuck & Co. incorporated",Commerce,"WTTW Chicago"
1902,"Rural Free Delivery rolled out nationally",Commerce,"Atlas Obscura"
